user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
M43****2086,2分,一般,景色4,趣味1,性价比1,"订了听讲解的费用，到了杨导游，杨导游的电话打了3次，响了几声就是正在通话中，不接……，北京下着中雨，就这样对待游客，差评！差评！差评！
同样是听讲解，昨天去的颐和园，导游非常热情，还多次帮忙给拍照。",,,,,,天坛公园差评
wendy闫,1分,不佳,景色5,趣味4,性价比5,天坛还是值得去的，环境不错，但是携程是个坑，门票卖的贵很多，退票还只能退一半，建议直接到公园门口买票,,,,,,天坛公园差评
138****1010,1分,不佳,景色3,趣味3,性价比1,"一个有历史遗迹的公园，票价太高了啊！
导游讲解简单，很多细致的内容都是听别的团导游
这个团性价比很低
超级不抵
推荐找找别的团或别的导游",,,,,,天坛公园差评
_WeCh****532090,1分,不佳,景色5,趣味3,性价比3,人工讲解服务搞笑的，服务太差，失望至极！！,,,,,,天坛公园差评
邓先生2024,1分,不佳,景色5,趣味1,性价比1,对导游无语。王海玉导游。,,,,,,天坛公园差评
M42****5969,2分,一般,景色3,趣味3,性价比1,收了讲解费，没听到讲解，要求退款？,,,,,,天坛公园差评
,1分,不佳,景色1,趣味1,性价比1,Didn’t like the view here. Won’t go again,,,,,,天坛公园差评
M41****4704,1分,不佳,景色1,趣味1,性价比1,**商家，**，**,,,,,,天坛公园差评
202****166,1分,不佳,景色3,趣味1,性价比1,1-6人，独立精品资深导游团（赠耳麦）498元。非常非常差。导游不带耳麦，说公司没有通知，和客服反应说15人以上才配耳麦。讲解声音非常轻，一路听了个寂寞，还不如租和导览仪或者天坛门口直接请导游讲解的生动。,,,,,,天坛公园差评
M25****9360,1分,不佳,景色5,趣味1,性价比1,讲解太敷衍，还不如听自助语音，声音又小，其他团导游的声音都比他大，也不发个麦，抠；又不准时，每个点都不换约定时间出发，门票是值的，景很雄伟，额外的所谓讲解费（跟团费）太水了，马上取消明后天圆明园这些的跟团，失望～,,,,,,天坛公园差评
M23****3518,1分,不佳,景色3,趣味1,性价比1,旅行社差差差！,,,,,,天坛公园差评
M48****4376,1分,不佳,景色1,趣味1,性价比1,为什么在网上抢门票，还要在导游,,,,,,天坛公园差评
M35****0807,2分,一般,景色2,趣味2,性价比2,服务态度不好,,,,,,天坛公园差评
M44****927,1分,不佳,景色1,趣味1,性价比1,"建议大家订票不好选择携程，特别是家庭出游，很有可能把孩子和老人分开对接不同的旅行社出票和提供导游服务，结果就是，有些有票，有些没票，或者没有导游为您提供服务。
携程非常店大欺客，遇上任何问题，客服一句不好意思就完事。剩下的，自己承担！",,,,,,天坛公园差评
